imo,name,dwt
9392341,VENUS LEADER,15031
9391414,NORDIC HUMBOLDT,37602
9391397,CONTI GREENLAND,37606
9391385,ISOLDE,37527
9391373,CONTI BENGUELA,37606
9391361,CAPE GAVI,37606
9391311,KRITI JADE,49999
9391282,KRITI RUBY,50349
9391036,MANISA BALU,8076
9391024,MANISA GRETA,8046
9391000,RYSTRAUM,9597
9390991,GOLFSTRAUM,9595
9390927,KERALA,74999
9390824,LUCY BORCHARD,8238
9390769,TORM LENE,49999
9390680,CAPE ANN,80780
9390628,DILONG SPIRIT,159021
9390587,PHOENIX HOPE,105585
9390472,JSP BORA,13795
9390367,MARTIN I SOLER,4370
9390185,GASLOG CHELSEA,86353
9391402,CAPE GUINEA,37554
9391426,ALPINE MIA,49999
9392327,CARONI PLAIN,39572
9391438,ALPINE MOMENT,49999
9392250,CHELSEA,9127
9392236,EPIC MANHATTAN,9127
9392183,CAVANE,8139
9392133,AURELIA,23641
9392107,ADAROSE,12497
9392092,WAAL CONFIDENCE,33387
9392080,INUYAMA,19922
9392078,DINO,33371
9391957,ZAPPHIRE,47329
9391945,EMERALD,47302
9391828,SSI MAGNIFICENT,32258
9391646,SQUIRESHIP,170018
9391593,RCC EUROPE,21300
9391581,RCC ASIA,21037
9391579,SERENITY ACE,21004
9391567,GENTLE LEADER,21122
9391529,OCEAN BREEZE,50748
9391517,OCEAN PRINCESS I,50549
9391476,STENA PENGUIN,64834
9363819,EASTERLY AS OMARIA,19974
9363766,EQUATOR,18965
9325104,TAMPA BAY,29671
9337004,RIDGEBURY JUDITH,150393
9337365,VENTO DI MAESTRALE,22014
9337353,YASMINE,17023
9337341,YASA GOLDEN MARMARA,110769
9337327,T REX,50548
9337262,HALSTED,39332
9337236,BBC ZARATE,12834
9337224,BBC ROSARIO,12873
9337212,NEW ADVANCE,105544
9337016,RIDGEBURY MARY JANE,149993
9336907,GLORY NAVIGATOR,81900
9338151,SIDER BILBAO,14184
9336892,LORIENT,82331
9336830,VALENTINA 1,50198
9336763,ALPHA BULKER,32741
9336749,MARIB SPIRIT,81400
9336660,ECO NEBULA,29536
9336658,NORDICO,29565
9336610,LADY I,75356
9336464,DVINA GULF,45704
9336359,MSC OLGA F,13775
9337377,MARIO A,22016
9337406,BANDA SEA,105576
9337418,PATMOS WARRIOR,105572
9337444,MSC UBERTY,103614
9338113,LUCITA,7601
9338058,ARCHER,39269
9337987,AL GHARIYA,121730
9337975,DUHAIL,121639
9337963,AL SAFLIYA,121963
9337951,AL RUWAIS,121823
9337793,RHOURD EL HAMRA,19277
9337779,VULCANELLO M.,11298
9337743,AL HAMLA,106983
9337731,TEMBEK,106896
9337729,MESAIMEER,107160
9337717,AL GHARRAFA,106898
9337676,NYK DENEB,65953
9337652,NYK DELPHINUS,65950
9337640,NYK NEBULA,65600
9337638,NYK METEOR,65935
9337626,NYK CONSTELLATION,65919
9337614,NYK DAEDALUS,65867
9337511,ATLANTIC GRACE,49999
9336294,LOUISE BORCHARD,8238
9336268,FINNLADY,9653
9336256,FINNSWAN,9653
9334856,AIDADIVA,8811
9334789,MAVROUDA,37145
9334739,OLIB,108433
9334727,DUGI OTOK,108414
9334662,MAERSK TAIKUNG,113478
9334571,TWO MILLION WAYS,73965
9334569,POLAR UNICORN,73956
9334430,DOMENICO IEVOLI,10016
9334387,PORT GDYNIA,41850
9334375,INDEPENDENT HORIZON,42213
9334351,EM KEA,42166
9334325,SARACENA,20890
9334313,SEVKETTIN SONAY,14889
9334234,GRAND VICTORY,18299
9334167,ANL WANGARATTA,50596
9334155,ANL WYONG,50607
9334076,EJNAN,78403
9334038,YASA GOLDEN BOSPHORUS,115867
9333852,MOL ENDOWMENT,62949
9333838,MOL EXPERIENCE,62953
9334818,OKEE ALICIA,23741
9334868,AIDALUNA,8654
9336244,CONTAINERSHIPS VIII,13174
9334923,COSCO OCEANIA,111385
9336189,INTELLIGENT PURSUIT,34281
9336165,HAMMONIA PALATIUM,34304
9336074,MORNING COMPOSER,21052
9336062,MORNING CELESTA,21055
9336050,MORNING CONDUCTOR,21091
9336048,MSC SINDY,117077
9335989,ARTEMIS,76942
9335953,APHRODITE LEADER,21443
9335915,BLUE ROSE,38402
9335836,ELENORE,34497
9335824,MTM DUBLIN,33682
9335202,GSL CHATEAU D'IF,68281
9335197,CMA CGM ALCAZAR,68282
9335161,VOLCAN DE TENEGUIA,7341
9335068,NCC HAIEL,45953
9335056,NCC DAMMAM,45965
9335044,NCC SUDAIR,46012
9335032,NCC RABIGH,45951
9334959,TAVASTLAND,15960
9338125,AK HAMZA,7600
9338565,MANTA HATICE,31931
9333785,CAPRICORN SUN,115577
9341897,BELGRAVIA,9127
9342425,HENRIETTA KOSAN,8612
9342396,HELENA KOSAN,8555
9342217,BW SEINE,76580
9342205,HOEGH LONDON,27100
9342176,MAERSK PITTSBURGH,84688
9341976,ILHA DA MADEIRA,8200
9341964,CONMAR GULF,8146
9341940,BW RHINE,76578
9341902,EPIC MADEIRA,9127
